=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.08.26 15:24:21 =~=~=~=~=~=~=~=~=~=~=~=,,,,,
,,,,,
Tiempo ,CONTROL,VELOCIDA,REFERENC,,
,,,,,
-0.1,0,0,0,,Sobre Impulso
-0.095,0,0,0,,4.44500
-0.09,0,0,0,,Promedio
-0.085,0,0,0,,4.001850746
-0.08,0,0,0,,Mediana:
-0.075,0,0,0,,4.0030
-0.07,0,0,0,,Sobreimpulso %
-0.065,0,0,0,,11.074
-0.06,0,0,0,,
-0.055,0,0,0,,Perturbación
-0.05,0,0,0,,Tiempo:
-0.045,0,0,0,,1.295
-0.04,0,0,0,,Valor mínimo
-0.035,0,0,0,,2.968
-0.03,0,0,0,,Porcentaje
-0.025,0,0,0,,25.83431547
-0.02,0,0,0,,
-0.015,0,0,0,,
-0.01,0,0,0,,
-0.005,0,0,0,,
0,-0.011,0.012,0,,
0.005,-0.018,0.02,0,,
0.01,-0.021,0.022,0,,
0.015,-0.022,0.022,0,,
0.02,-0.021,0.02,0,,
0.025,-0.022,0.02,0,,
0.03,-0.025,0.022,0,,
0.035,-0.026,0.022,0,,
0.04,-0.025,0.02,0,,
0.045,-0.026,0.02,0,,
0.05,-0.027,0.02,0,,
0.055,-0.028,0.02,0,,
0.06,-0.029,0.02,0,,
0.065,-0.03,0.02,0,,
0.07,-0.031,0.02,0,,
0.075,-0.032,0.02,0,,
0.08,-0.033,0.02,0,,
0.085,-0.034,0.02,0,,
0.09,-0.035,0.02,0,,
0.095,-0.038,0.022,0,,
0.1,-0.037,0.02,0,,
0.105,-0.038,0.02,0,,
0.11,-0.036,0.018,0,,
0.115,-0.039,0.02,0,,
0.12,-0.038,0.018,0,,
0.125,-0.041,0.02,0,,
0.13,-0.042,0.02,0,,
0.135,-0.043,0.02,0,,
0.14,-0.042,0.018,0,,
0.145,-0.045,0.02,0,,
0.15,-0.046,0.02,0,,
0.155,-0.047,0.02,0,,
0.16,-0.046,0.018,0,,
0.165,-0.047,0.018,0,,
0.17,-0.047,0.018,0,,
0.175,-0.048,0.018,0,,
0.18,-0.049,0.018,0,,
0.185,-0.052,0.02,0,,
0.19,-0.051,0.018,0,,
0.195,-0.052,0.018,0,,
0.2,-0.053,0.018,0,,
0.205,-0.053,0.018,0,,
0.21,-0.052,0.015,0,,
0.215,-0.053,0.015,0,,
0.22,-0.056,0.018,0,,
0.225,-0.056,0.018,0,,
0.23,-0.057,0.018,0,,
0.235,-0.056,0.015,0,,
0.24,-0.057,0.015,0,,
0.245,-0.057,0.015,0,,
0.25,-0.058,0.015,0,,
0.255,-0.059,0.015,0,,
0.26,-0.06,0.015,0,,
0.265,-0.06,0.015,0,,
0.27,-0.063,0.018,0,,
0.275,-0.062,0.015,0,,
0.28,-0.063,0.015,0,,
0.285,-0.061,0.012,0,,
0.29,-0.062,0.012,0,,
0.295,-0.065,0.015,0,,
0.3,-0.065,0.015,0,,
0.305,-0.066,0.015,0,,
0.31,-0.065,0.012,0,,
0.315,-0.065,0.012,0,,
0.32,-0.066,0.012,0,,
0.325,-0.064,0.01,0,,
0.33,-0.067,0.012,0,,
0.335,-0.07,0.015,0,,
0.34,-0.068,0.012,0,,
0.345,-0.067,0.01,0,,
0.35,-0.069,0.012,0,,
0.355,-0.068,0.01,0,,
0.36,-0.068,0.01,0,,
0.365,-0.071,0.012,0,,
0.37,-0.069,0.01,0,,
0.375,-0.07,0.01,0,,
0.38,-0.07,0.01,0,,
0.385,-0.069,0.008,0,,
0.39,-0.071,0.01,0,,
0.395,-0.071,0.01,0,,
0.4,-0.072,0.01,0,,
0.405,-0.072,0.01,0,,
0.41,-0.075,0.012,0,,
0.415,-0.074,0.01,0,,
0.42,-0.074,0.01,0,,
0.425,-0.074,0.01,0,,
0.43,-0.075,0.01,0,,
0.435,-0.075,0.01,0,,
0.44,-0.074,0.008,0,,
0.445,-0.076,0.01,0,,
0.45,-0.077,0.01,0,,
0.455,-0.075,0.008,0,,
0.46,-0.078,0.01,0,,
0.465,-0.078,0.01,0,,
0.47,-0.076,0.008,0,,
0.475,-0.077,0.008,0,,
0.48,-0.077,0.008,0,,
0.485,-0.078,0.008,0,,
0.49,-0.078,0.008,0,,
0.495,-0.076,0.005,0,,
0.5,-0.078,0.008,0,,
0.505,-0.079,0.008,0,,
0.51,-0.079,0.008,0,,
0.515,-0.077,0.005,0,,
0.52,-0.08,0.008,0,,
0.525,-0.078,0.005,0,,
0.53,-0.078,0.005,0,,
0.535,-0.078,0.005,0,,
0.54,-0.079,0.005,0,,
0.545,-0.079,0.005,0,,
0.55,-0.079,0.005,0,,
0.555,-0.079,0.005,0,,
0.56,-0.08,0.005,0,,
0.565,-0.08,0.005,0,,
0.57,-0.078,0.003,0,,
0.575,-0.08,0.005,0,,
0.58,-0.081,0.005,0,,
0.585,-0.081,0.005,0,,
0.59,-0.081,0.005,0,,
0.595,-0.079,0.003,0,,
0.6,-0.084,0.008,0,,
0.605,-0.082,0.005,0,,
0.61,-0.08,0.003,0,,
0.615,-0.082,0.005,0,,
0.62,-0.082,0.005,0,,
0.625,-0.08,0.003,0,,
0.63,-0.081,0.003,0,,
0.635,-0.081,0.003,0,,
0.64,-0.083,0.005,0,,
0.645,-0.081,0.003,0,,
0.65,-0.081,0.003,0,,
0.655,-0.083,0.005,0,,
0.66,-0.081,0.003,0,,
0.665,-0.079,0,0,,
0.67,-0.079,0,0,,
0.675,-0.084,0.005,0,,
0.68,-0.082,0.003,0,,
0.685,-0.082,0.003,0,,
0.69,-0.082,0.003,0,,
0.695,-0.082,0.003,0,,
0.7,-0.082,0.003,0,,
0.705,-0.08,0,0,,
0.71,-0.08,0,0,,
0.715,-0.082,0.003,0,,
0.72,-0.08,0,0,,
0.725,-0.083,0.003,0,,
0.73,-0.081,0,0,,
0.735,-0.083,0.003,0,,
0.74,-0.083,0.003,0,,
0.745,-0.081,0,0,,
0.75,-0.081,0,0,,
0.755,-0.083,0.003,0,,
0.76,-0.081,0,0,,
0.765,-0.081,0,0,,
0.77,-0.083,0.003,0,,
0.775,-0.081,0,0,,
0.78,-0.081,0,0,,
0.785,-0.081,0,0,,
0.79,-0.081,0,0,,
0.795,-0.081,0,0,,
0.8,-0.081,0,0,,
0.805,-0.081,0,0,,
0.81,-0.081,0,0,,
0.815,-0.081,0,0,,
