Tiempo ,CONTROL,VELOCIDA,REFERENC,,
,,,,,Sobre Impulso
-0.1,0,0,0,,4.09500
-0.095,0,0,0,,Promedio
-0.09,0,0,0,,4.001151741
-0.085,0,0,0,,Mediana:
-0.08,0,0,0,,4.0000
-0.075,0,0,0,,Sobreimpulso %
-0.07,0,0,0,,2.346
-0.065,0,0,0,,
-0.06,0,0,0,,
-0.055,0,0,0,,Perturbación
-0.05,0,0,0,,Tiempo:
-0.045,0,0,0,,1.295
-0.04,0,0,0,,Valor mínimo
-0.035,0,0,0,,3.635
-0.03,0,0,0,,Valor máximo
-0.025,0,0,0,,4.363
-0.02,0,0,0,,Porcentaje a minimo
-0.015,0,0,0,,9.151158591
-0.01,0,0,0,,Porcentaje a maximo
-0.005,0,0,0,,9.043602495
0,-0.013,0.015,0,,
0.005,-0.02,0.022,0,,
0.01,-0.002,0,0,,
0.015,-0.017,0.018,0,,
0.02,-0.024,0.025,0,,
0.025,-0.025,0.025,0,,
0.03,-0.027,0.025,0,,
0.035,-0.028,0.025,0,,
0.04,-0.029,0.025,0,,
0.045,-0.032,0.027,0,,
0.05,-0.031,0.025,0,,
0.055,-0.031,0.022,0,,
0.06,-0.034,0.025,0,,
0.065,-0.035,0.025,0,,
0.07,-0.034,0.022,0,,
0.075,-0.035,0.022,0,,
0.08,-0.038,0.025,0,,
0.085,-0.04,0.025,0,,
0.09,-0.041,0.025,0,,
0.095,-0.042,0.025,0,,
0.1,-0.043,0.025,0,,
0.105,-0.044,0.025,0,,
0.11,-0.043,0.022,0,,
0.115,-0.047,0.025,0,,
0.12,-0.048,0.025,0,,
0.125,-0.049,0.025,0,,
0.13,-0.048,0.022,0,,
0.135,-0.051,0.025,0,,
0.14,-0.055,0.027,0,,
0.145,-0.054,0.025,0,,
0.15,-0.055,0.025,0,,
0.155,-0.054,0.022,0,,
0.16,-0.055,0.022,0,,
0.165,-0.056,0.022,0,,
0.17,-0.057,0.022,0,,
0.175,-0.061,0.025,0,,
0.18,-0.062,0.025,0,,
0.185,-0.063,0.025,0,,
0.19,-0.062,0.022,0,,
0.195,-0.065,0.025,0,,
0.2,-0.066,0.025,0,,
0.205,-0.065,0.022,0,,
0.21,-0.067,0.022,0,,
0.215,-0.068,0.022,0,,
0.22,-0.069,0.022,0,,
0.225,-0.07,0.022,0,,
0.23,-0.071,0.022,0,,
0.235,-0.074,0.025,0,,
0.24,-0.075,0.025,0,,
0.245,-0.074,0.022,0,,
0.25,-0.078,0.025,0,,
0.255,-0.079,0.025,0,,
0.26,-0.078,0.022,0,,
0.265,-0.077,0.02,0,,
0.27,-0.08,0.022,0,,
0.275,-0.081,0.022,0,,
0.28,-0.08,0.02,0,,
0.285,-0.081,0.02,0,,
0.29,-0.084,0.022,0,,
0.295,-0.085,0.022,0,,
0.3,-0.086,0.022,0,,
0.305,-0.087,0.022,0,,
0.31,-0.088,0.022,0,,
0.315,-0.089,0.022,0,,
0.32,-0.088,0.02,0,,
0.325,-0.091,0.022,0,,
0.33,-0.092,0.022,0,,
0.335,-0.094,0.022,0,,
