=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.09.02 16:22:36 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,
,,,,,,,
Tiempo ,CONTROL,VELOCIDA,REFERENC,,,,
,,,,,,,
-0.1,0,0,0,,,,
-0.095,0,0,0,,6 segundos = celda,1225,
-0.09,0,0,0,,3segundos = celda,625,
-0.085,0,0,0,,Sobre-impulso,,
-0.08,0,0,0,,4.102,,
-0.075,0,0,0,,Procentaje de sobreimpulso,,
-0.07,0,0,0,,2.55,%,
-0.065,0,0,0,,Valor mínimo en perturbación,,
-0.06,0,0,0,,3.665,celda ,1090
-0.055,0,0,0,,,tiempo,5.325
-0.05,0,0,0,,,,
-0.045,0,0,0,,tiempo,,velocidad
-0.04,0,0,0,,5.54,3.589,3.928
-0.035,0,0,0,,,,
-0.03,0,0,0,,dif tiempo,,
-0.025,0,0,0,,0.215,,
-0.02,0,0,0,,,,
-0.015,0,0,0,,,,
-0.01,0,0,0,,,,
-0.005,0,0,0,,,,
0,-0.024,0.025,0,,,,
0.005,-0.013,0.012,0,,,,
0.01,-0.004,0.003,0,,,,
0.015,-0.005,0.003,0,,,,
0.02,-0.005,0.003,0,,,,
0.025,-0.005,0.003,0,,,,
0.03,-0.003,0,0,,,,
0.035,-0.005,0.003,0,,,,
0.04,-0.005,0.003,0,,,,
0.045,-0.005,0.003,0,,,,
0.05,-0.005,0.003,0,,,,
0.055,-0.006,0.003,0,,,,
0.06,-0.008,0.005,0,,,,
0.065,-0.003,0,0,,,,
0.07,-0.003,0,0,,,,
0.075,-0.006,0.003,0,,,,
0.08,-0.006,0.003,0,,,,
0.085,-0.006,0.003,0,,,,
0.09,-0.004,0,0,,,,
0.095,-0.004,0,0,,,,
0.1,-0.009,0.005,0,,,,
0.105,-0.004,0,0,,,,
0.11,-0.004,0,0,,,,
0.115,-0.007,0.003,0,,,,
0.12,-0.007,0.003,0,,,,
0.125,-0.004,0,0,,,,
0.13,-0.004,0,0,,,,
0.135,-0.004,0,0,,,,
0.14,-0.004,0,0,,,,
0.145,-0.002,-0.003,0,,,,
0.15,-0.004,0,0,,,,
0.155,-0.007,0.003,0,,,,
0.16,-0.004,0,0,,,,
0.165,-0.004,0,0,,,,
0.17,-0.004,0,0,,,,
0.175,-0.004,0,0,,,,
0.18,-0.002,-0.003,0,,,,
0.185,-0.002,-0.003,0,,,,
0.19,-0.004,0,0,,,,
0.195,-0.004,0,0,,,,
0.2,-0.004,0,0,,,,
0.205,-0.004,0,0,,,,
0.21,-0.002,-0.003,0,,,,
0.215,-0.006,0.003,0,,,,
0.22,-0.004,0,0,,,,
0.225,-0.004,0,0,,,,
0.23,-0.002,-0.003,0,,,,
0.235,-0.004,0,0,,,,
0.24,0.001,-0.005,0,,,,
0.245,-0.004,0,0,,,,
0.25,-0.004,0,0,,,,
0.255,-0.004,0,0,,,,
0.26,-0.001,-0.003,0,,,,
0.265,-0.006,0.003,0,,,,
0.27,-0.004,0,0,,,,
0.275,-0.004,0,0,,,,
0.28,-0.001,-0.003,0,,,,
0.285,-0.004,0,0,,,,
0.29,-0.004,0,0,,,,
0.295,-0.001,-0.003,0,,,,
0.3,-0.001,-0.003,0,,,,
0.305,-0.003,0,0,,,,
0.31,-0.003,0,0,,,,
0.315,-0.003,0,0,,,,
0.32,-0.001,-0.003,0,,,,
0.325,-0.001,-0.003,0,,,,
0.33,-0.003,0,0,,,,
0.335,-0.003,0,0,,,,
0.34,-0.001,-0.003,0,,,,
0.345,-0.001,-0.003,0,,,,
0.35,-0.003,0,0,,,,
0.355,0,-0.003,0,,,,
0.36,0,-0.003,0,,,,
0.365,-0.005,0.003,0,,,,
0.37,-0.003,0,0,,,,
0.375,0.002,-0.005,0,,,,
0.38,0,-0.003,0,,,,
0.385,-0.002,0,0,,,,
0.39,0,-0.003,0,,,,
0.395,0,-0.003,0,,,,
0.4,-0.002,0,0,,,,
0.405,-0.004,0.003,0,,,,
0.41,0,-0.003,0,,,,
0.415,-0.002,0,0,,,,
0.42,0,-0.003,0,,,,
0.425,-0.002,0,0,,,,
0.43,-0.002,0,0,,,,
0.435,0.001,-0.003,0,,,,
0.44,-0.002,0,0,,,,
0.445,-0.002,0,0,,,,
0.45,0.001,-0.003,0,,,,
0.455,0.001,-0.003,0,,,,
0.46,0.001,-0.003,0,,,,
0.465,-0.001,0,0,,,,
0.47,0.001,-0.003,0,,,,
0.475,-0.001,0,0,,,,
0.48,-0.001,0,0,,,,
0.485,-0.001,0,0,,,,
0.49,0.004,-0.005,0,,,,
0.495,0.001,-0.003,0,,,,
0.5,-0.001,0,0,,,,
0.505,0.002,-0.003,0,,,,
0.51,0.002,-0.003,0,,,,
0.515,-0.001,0,0,,,,
0.52,-0.001,0,0,,,,
0.525,0.002,-0.003,0,,,,
0.53,0.002,-0.003,0,,,,
0.535,0,0,0,,,,
0.54,0,0,0,,,,
0.545,0.002,-0.003,0,,,,
0.55,0,0,0,,,,
0.555,-0.003,0.003,0,,,,
0.56,0,0,0,,,,
0.565,0.002,-0.003,0,,,,
0.57,0,0,0,,,,
0.575,0,0,0,,,,
0.58,0,0,0,,,,
0.585,0.002,-0.003,0,,,,
0.59,0,0,0,,,,
0.595,-0.002,0.003,0,,,,
0.6,0,0,0,,,,
0.605,0.002,-0.003,0,,,,
0.61,0,0,0,,,,
0.615,-0.002,0.003,0,,,,
0.62,0,0,0,,,,
0.625,0,0,0,,,,
0.63,-0.003,0.003,0,,,,
0.635,-0.003,0.003,0,,,,
0.64,0,0,0,,,,
0.645,0.002,-0.003,0,,,,
0.65,-0.003,0.003,0,,,,
0.655,0,0,0,,,,
0.66,0,0,0,,,,
0.665,0,0,0,,,,
0.67,-0.005,0.005,0,,,,
0.675,-0.001,0,0,,,,
0.68,-0.001,0,0,,,,
0.685,-0.003,0.003,0,,,,
0.69,-0.006,0.005,0,,,,
0.695,-0.003,0.003,0,,,,
0.7,-0.004,0.003,0,,,,
0.705,-0.001,0,0,,,,
0.71,-0.004,0.003,0,,,,
0.715,-0.004,0.003,0,,,,
0.72,-0.002,0,0,,,,
0.725,-0.006,0.005,0,,,,
0.73,-0.009,0.008,0,,,,
0.735,-0.002,0,0,,,,
0.74,-0.005,0.003,0,,,,
0.745,-0.005,0.003,0,,,,
0.75,-0.007,0.005,0,,,,
0.755,-0.005,0.003,0,,,,
0.76,-0.008,0.005,0,,,,
0.765,-0.008,0.005,0,,,,
0.77,-0.008,0.005,0,,,,
0.775,-0.006,0.003,0,,,,
0.78,-0.011,0.008,0,,,,
0.785,-0.009,0.005,0,,,,
0.79,-0.012,0.008,0,,,,
0.795,-0.007,0.003,0,,,,
0.8,-0.01,0.005,0,,,,
0.805,-0.013,0.008,0,,,,
0.81,-0.011,0.005,0,,,,
0.815,-0.011,0.005,0,,,,
0.82,-0.014,0.008,0,,,,
0.825,-0.014,0.008,0,,,,
0.83,-0.014,0.008,0,,,,
0.835,-0.012,0.005,0,,,,
0.84,-0.015,0.008,0,,,,
0.845,-0.015,0.008,0,,,,
0.85,-0.013,0.005,0,,,,
0.855,-0.014,0.005,0,,,,
0.86,-0.016,0.008,0,,,,
0.865,-0.017,0.008,0,,,,
0.87,-0.017,0.008,0,,,,
0.875,-0.018,0.008,0,,,,
0.88,-0.02,0.01,0,,,,
0.885,-0.019,0.008,0,,,,
0.89,-0.017,0.005,0,,,,
0.895,-0.019,0.008,0,,,,
0.9,-0.024,0.012,0,,,,
0.905,-0.018,0.005,0,,,,
0.91,-0.021,0.008,0,,,,
0.915,-0.023,0.01,0,,,,
0.92,-0.026,0.012,0,,,,
0.925,-0.022,0.008,0,,,,
0.93,-0.025,0.01,0,,,,
0.935,-0.026,0.01,0,,,,
0.94,-0.026,0.01,0,,,,
0.945,-0.027,0.01,0,,,,
0.95,-0.025,0.008,0,,,,
0.955,-0.025,0.008,0,,,,
0.96,-0.028,0.01,0,,,,
0.965,-0.028,0.01,0,,,,
0.97,-0.031,0.012,0,,,,
0.975,-0.032,0.012,0,,,,
0.98,-0.033,0.012,0,,,,
0.985,-0.031,0.01,0,,,,
0.99,-0.034,0.012,0,,,,
0.995,-0.035,0.012,0,,,,
1,3.824,0.012,4,,,,
1.005,3.63,0.435,4,,,,
1.01,3.431,0.84,4,,,,
1.015,3.304,1.148,4,,,,
1.02,3.272,1.34,4,,,,
1.025,3.225,1.538,4,,,,
1.03,3.193,1.708,4,,,,
1.035,3.224,1.803,4,,,,
1.04,3.2,1.95,4,,,,
1.045,3.204,2.06,4,,,,
1.05,3.215,2.158,4,,,,
1.055,3.198,2.278,4,,,,
1.06,3.225,2.345,4,,,,
1.065,3.232,2.43,4,,,,
1.07,3.198,2.553,4,,,,
1.075,3.247,2.582,4,,,,
1.08,3.244,2.665,4,,,,
1.085,3.241,2.743,4,,,,
1.09,3.251,2.803,4,,,,
1.095,3.243,2.878,4,,,,
1.1,3.235,2.947,4,,,,
1.105,3.292,2.947,4,,,,
1.11,3.228,3.072,4,,,,
1.115,3.254,3.097,4,,,,
1.12,3.256,3.145,4,,,,
1.125,3.22,3.23,4,,,,
1.13,3.274,3.217,4,,,,
1.135,3.241,3.295,4,,,,
1.14,3.264,3.31,4,,,,
1.145,3.217,3.398,4,,,,
1.15,3.206,3.442,4,,,,
1.155,3.263,3.415,4,,,,
1.16,3.171,3.543,4,,,,
1.165,3.217,3.52,4,,,,
1.17,3.219,3.545,4,,,,
1.175,3.188,3.602,4,,,,
1.18,3.19,3.622,4,,,,
1.185,3.206,3.628,4,,,,
1.19,3.175,3.68,4,,,,
1.195,3.17,3.702,4,,,,
1.2,3.177,3.713,4,,,,
1.205,3.134,3.772,4,,,,
1.21,3.161,3.758,4,,,,
1.215,3.176,3.755,4,,,,
1.22,3.088,3.86,4,,,,
1.225,3.086,3.87,4,,,,
1.23,3.129,3.832,4,,,,
1.235,3.122,3.85,4,,,,
1.24,3.101,3.88,4,,,,
1.245,3.126,3.86,4,,,,
1.25,3.139,3.855,4,,,,
